model,reviewed_rows,taxonomy_types_observed,near_threshold_rows,completion_percent
distilbert,104,5,48,100.0
linear_svm,103,5,49,100.0
logistic_regression,103,5,48,100.0
naive_bayes,105,6,49,100.0
