model,modern_macro_f1,modern_macro_f1_ci_low,modern_macro_f1_ci_high,modern_micro_f1,modern_micro_f1_ci_low,modern_micro_f1_ci_high,n_supported_categories,n_segments,n_policies
Logistic Regression,0.8667,0.8667,0.8667,0.7692,0.7692,0.7692,5,5,1
Linear SVM,0.9333,0.9333,0.9333,0.9091,0.9091,0.9091,5,5,1
