category,TP,FP,FN,TN
Other/Unclear,1218,272,401,1162
Data Collection,1004,222,240,1587
Third-Party Sharing,738,184,221,1910
User Control & Deletion,448,192,189,2224
Data Security,176,49,117,2711
Policy Change,113,25,40,2875
Data Retention,48,25,80,2900
