model,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std
Majority,0.0988984309464155,0.0044396402900592,0.4005918053339813,0.0297713432809597
Naive Bayes,0.3309998301019511,0.0078121862415358,0.6238467898981515,0.010829058654849
Keyword,0.530005825013935,0.0195674072929138,0.5564361260372461,0.0086132646308306
DistilBERT,0.6028184683913734,0.027416649417394214,0.656351934131474,0.01359171028500403
Logistic Regression,0.7134551638697784,0.0240482320484689,0.7638525286272921,0.0082941060120902
Linear SVM,0.7134736902279765,0.0239192415417578,0.7683265824300614,0.0068628366231227
