category,support,base_rate,mean_pred_prob,mean_pred_prob_pos,mean_pred_prob_neg,brier
Data Collection,1244,0.4074680641991484,0.46330272002371725,0.6774665298853488,0.3160281045080348,0.1309546624444601
Data Retention,128,0.041925974451359316,0.20036892965432976,0.48439123912264626,0.1879399191887077,0.0558324258833427
Data Security,293,0.0959711758925647,0.25997562826133064,0.621027871613264,0.2216465314127377,0.07448170842394329
Other/Unclear,1619,0.5302980674746152,0.5107701544335385,0.6357046808745975,0.3697178543581728,0.16274947380807425
Policy Change,153,0.05011464133639044,0.15823245353657453,0.7337078570156468,0.1278711650081959,0.033547180702726116
Third-Party Sharing,959,0.31411726170979365,0.42133273741121885,0.668383110239597,0.3081898016221002,0.1261147939189789
User Control & Deletion,637,0.20864723223059287,0.3619032000989076,0.6443134308168619,0.2874432179104403,0.1168262955427484
